   Duration          Date  Pulse  Maxpulse  Calories
0         60  '2025/01/01'    112       140     410.2
1         50  '2025/01/02'    115       150     435.6
2         45  '2025/01/03'    108       135     325.4
3         55  '2025/01/04'    120       170     290.8
4         65  '2025/01/05'    118       148     415.7
5         60  '2025/01/06'    105       132     310.1
6         50  '2025/01/07'    113       139     375.9
7        400  '2025/01/08'    110       134     260.2
8         35  '2025/01/09'    111       135     205.7
9         60  '2025/01/10'    101       128     270.0
10        55  '2025/01/11'    107       145     320.3
11        60  '2025/01/12'    102       130     285.7
12        40  '2025/01/13'    114       140     325.9
13        60  '2025/01/14'    105       132     310.3
14        50  '2025/01/15'    109       142     365.0
15        45  '2025/01/16'    103       130     255.2
16        60  '2025/01/17'    120       145     400.0
17        60  '2025/01/18'    108       138     375.3
18        55  '2025/01/19'    116       147     395.0
19        45  '2025/01/20'    112       135     285.0
20        60  '2025/01/21'    119       150     425.3
21        60  '2025/01/23'    115       140     350.0
22        60  '2025/01/24'    107       133     310.0
23        60  '2025/01/25'    104       132     275.5
24        45  '2025/01/26'    102       130     250.0
25        60  '2025/01/27'    109       140     380.0
26        50  '2025/01/29'    110       130     330.0
27        60  '2025/01/30'    118       145     415.3
28        60  '2025/01/31'    112       142     400.0
